# t(s)	scanN	front_min(m)	all_min(m)	raw254	raw253	odom_x	odom_y
 256	 10	   0.736	     nan	 577	5200	   0.000	   0.000
 257	 10	   0.766	     nan	 577	5153	   0.000	   0.000
 258	 10	   0.500	     nan	 603	5321	   0.000	   0.000
 259	 10	   0.636	     nan	 566	4994	   0.000	   0.000
 260	 10	   0.744	     nan	 568	5017	   0.000	   0.000
 261	 10	   0.766	     nan	 583	5098	   0.000	   0.000
 262	 10	   0.736	     nan	 569	5056	   0.000	   0.000
 263	 10	   0.500	     nan	 578	4997	   0.000	   0.000
 264	  9	   0.730	     nan	 579	5273	   0.000	   0.000
 265	 10	   0.766	     nan	 575	5118	   0.000	   0.000
 266	 10	   0.734	     nan	 578	5164	   0.000	   0.000
 267	 10	   0.500	     nan	 601	5313	   0.000	   0.000
 268	 10	   0.750	     nan	 568	4964	   0.000	   0.000
 269	 10	   0.766	     nan	 566	4997	   0.000	   0.000
 270	 10	   0.754	     nan	 582	5152	   0.000	   0.000
 271	 10	   0.734	     nan	 574	5137	   0.000	   0.000
 272	 10	   0.510	     nan	 557	4980	   0.000	   0.000
 273	 10	   0.734	     nan	 567	5181	   0.000	   0.000
 274	 10	   0.726	     nan	 573	5041	   0.000	   0.000
 275	 10	   0.764	     nan	 569	5048	   0.000	   0.000
 276	 10	   0.586	     nan	 649	5519	   0.000	   0.000
 277	  9	   0.502	     nan	 578	5223	   0.000	   0.000
 278	 10	   0.740	     nan	 587	5012	   0.000	   0.000
 279	 10	   0.764	     nan	 560	4996	   0.000	   0.000
 280	 10	   0.702	     nan	 580	5059	   0.000	   0.000
 281	 10	   0.764	     nan	 587	5038	   0.000	   0.000
 282	 10	   0.728	     nan	 577	5032	   0.000	   0.000
 283	  5	   0.764	     nan	 588	5027	   0.000	   0.000
